,index,origin,"country Code, national number",E164 format
0,13000,+86 (712) 460-9948,Country Code: 86 National Number: 7124609948,+867124609948
1,13001,+86 (517) 904-5301,Country Code: 86 National Number: 5179045301,+865179045301
2,13002,+86 (689) 593-0693,Country Code: 86 National Number: 6895930693,+866895930693
3,13003,+506 (665) 353-9613,Country Code: 506 National Number: 6653539613,+5066653539613
4,13005,+1 (202) 391-6408,Country Code: 1 National Number: 2023916408,+12023916408
5,13006,+356 (177) 601-1267,Country Code: 356 National Number: 1776011267,+3561776011267
6,13007,+46 (882) 708-4843,Country Code: 46 National Number: 8827084843,+468827084843
7,13008,+593 (650) 302-0154,Country Code: 593 National Number: 6503020154,+5936503020154
8,13009,+52 (726) 533-8080,Country Code: 52 National Number: 7265338080,+527265338080
9,13010,+855 (659) 160-2892,Country Code: 855 National Number: 6591602892,+8556591602892
10,13012,+62 (135) 798-3456,Country Code: 62 National Number: 1357983456,+621357983456
11,13013,+45 (755) 783-3854,Country Code: 45 National Number: 7557833854,+457557833854
12,13014,+996 (911) 132-4051,Country Code: 996 National Number: 9111324051,+9969111324051
13,13015,+234 (553) 533-2907,Country Code: 234 National Number: 5535332907,+2345535332907
14,13017,+86 (657) 615-5736,Country Code: 86 National Number: 6576155736,+866576155736
15,13018,+86 (318) 493-6597,Country Code: 86 National Number: 3184936597,+863184936597
16,13019,+351 (450) 925-6825,Country Code: 351 National Number: 4509256825,+3514509256825
17,13020,+92 (664) 887-3126,Country Code: 92 National Number: 6648873126,+926648873126
18,13021,+1 (852) 790-8564,Country Code: 1 National Number: 8527908564,+18527908564
19,13022,+86 (450) 242-0736,Country Code: 86 National Number: 4502420736,+864502420736
20,13023,+57 (705) 194-1273,Country Code: 57 National Number: 7051941273,+577051941273
21,13024,+62 (961) 115-1995,Country Code: 62 National Number: 9611151995,+629611151995
22,13025,+33 (156) 474-3749,Country Code: 33 National Number: 1564743749,+331564743749
23,13026,+31 (873) 275-8213,Country Code: 31 National Number: 8732758213,+318732758213
24,13027,+48 (121) 497-0772,Country Code: 48 National Number: 1214970772,+481214970772
25,13028,+52 (810) 325-0566,Country Code: 52 National Number: 8103250566,+528103250566
26,13029,+62 (997) 889-5096,Country Code: 62 National Number: 9978895096,+629978895096
27,13030,+265 (952) 539-4354,Country Code: 265 National Number: 9525394354,+2659525394354
28,13031,+48 (745) 675-0728,Country Code: 48 National Number: 7456750728,+487456750728
29,13032,+48 (872) 841-8747,Country Code: 48 National Number: 8728418747,+488728418747
30,13033,+55 (578) 919-1101,Country Code: 55 National Number: 5789191101,+555789191101
31,13034,+63 (217) 892-1882,Country Code: 63 National Number: 2178921882,+632178921882
32,13035,+55 (250) 849-0542,Country Code: 55 National Number: 2508490542,+552508490542
33,13036,+505 (357) 956-3195,Country Code: 505 National Number: 3579563195,+5053579563195
34,13037,+420 (440) 464-6063,Country Code: 420 National Number: 4404646063,+4204404646063
35,13038,+962 (474) 539-6650,Country Code: 962 National Number: 4745396650,+9624745396650
36,13039,+93 (683) 757-3388,Country Code: 93 National Number: 6837573388,+936837573388
37,13040,+86 (680) 898-6125,Country Code: 86 National Number: 6808986125,+866808986125
38,13041,+7 (175) 832-5399,Country Code: 7 National Number: 1758325399,+71758325399
39,13042,+63 (252) 182-7436,Country Code: 63 National Number: 2521827436,+632521827436
40,13043,+62 (946) 442-4862,Country Code: 62 National Number: 9464424862,+629464424862
41,13044,+63 (573) 400-9511,Country Code: 63 National Number: 5734009511,+635734009511
42,13045,+86 (974) 709-8326,Country Code: 86 National Number: 9747098326,+869747098326
43,13046,+226 (678) 245-6570,Country Code: 226 National Number: 6782456570,+2266782456570
44,13047,+63 (559) 725-8263,Country Code: 63 National Number: 5597258263,+635597258263
45,13048,+62 (101) 239-3928,Country Code: 62 National Number: 1012393928,+621012393928
46,13049,+48 (224) 355-4693,Country Code: 48 National Number: 2243554693,+482243554693
47,13050,+52 (951) 777-6396,Country Code: 52 National Number: 9517776396,+529517776396
48,13051,+351 (966) 654-4398,Country Code: 351 National Number: 9666544398,+3519666544398
49,13052,+7 (437) 562-0815,Country Code: 7 National Number: 4375620815,+74375620815
50,13053,+502 (146) 358-9751,Country Code: 502 National Number: 1463589751,+5021463589751
51,13055,+55 (696) 224-2424,Country Code: 55 National Number: 6962242424,+556962242424
52,13056,+62 (561) 122-6667,Country Code: 62 National Number: 5611226667,+625611226667
53,13057,+86 (769) 142-9470,Country Code: 86 National Number: 7691429470,+867691429470
54,13058,+33 (901) 103-6754,Country Code: 33 National Number: 9011036754,+339011036754
55,13059,+57 (580) 405-0983,Country Code: 57 National Number: 5804050983,+575804050983
56,13060,+86 (402) 662-6400,Country Code: 86 National Number: 4026626400,+864026626400
57,13061,+86 (374) 701-5501,Country Code: 86 National Number: 3747015501,+863747015501
58,13062,+1 (972) 599-6263,Country Code: 1 National Number: 9725996263,+19725996263
59,13063,+30 (278) 684-2011,Country Code: 30 National Number: 2786842011,+302786842011
60,13064,+62 (432) 298-5948,Country Code: 62 National Number: 4322985948,+624322985948
61,13065,+33 (268) 125-6860,Country Code: 33 National Number: 2681256860,+332681256860
62,13066,+86 (499) 754-6611,Country Code: 86 National Number: 4997546611,+864997546611
63,13067,+48 (568) 576-2685,Country Code: 48 National Number: 5685762685,+485685762685
64,13068,+7 (677) 448-4198,Country Code: 7 National Number: 6774484198,+76774484198
65,13069,+7 (207) 554-5895,Country Code: 7 National Number: 2075545895,+72075545895
66,13070,+48 (914) 628-6724,Country Code: 48 National Number: 9146286724,+489146286724
67,13072,+84 (184) 491-0532,Country Code: 84 National Number: 1844910532,+841844910532
68,13073,+86 (447) 634-0728,Country Code: 86 National Number: 4476340728,+864476340728
69,13074,+86 (878) 742-3857,Country Code: 86 National Number: 8787423857,+868787423857
70,13075,+46 (742) 505-0907,Country Code: 46 National Number: 7425050907,+467425050907
71,13076,+62 (105) 196-2844,Country Code: 62 National Number: 1051962844,+621051962844
72,13077,+86 (326) 214-2609,Country Code: 86 National Number: 3262142609,+863262142609
73,13078,+55 (907) 598-8898,Country Code: 55 National Number: 9075988898,+559075988898
74,13079,+255 (365) 228-2102,Country Code: 255 National Number: 3652282102,+2553652282102
75,13080,+7 (103) 127-4201,Country Code: 7 National Number: 1031274201,+71031274201
76,13081,+370 (368) 862-6316,Country Code: 370 National Number: 3688626316,+3703688626316
77,13082,+7 (905) 249-1934,Country Code: 7 National Number: 9052491934,+79052491934
78,13083,+967 (767) 419-7120,Country Code: 967 National Number: 7674197120,+9677674197120
79,13084,+62 (856) 978-5790,Country Code: 62 National Number: 8569785790,+628569785790
80,13085,+63 (392) 967-2702,Country Code: 63 National Number: 3929672702,+633929672702
81,13087,+55 (655) 567-8839,Country Code: 55 National Number: 6555678839,+556555678839
82,13088,+63 (663) 449-5695,Country Code: 63 National Number: 6634495695,+636634495695
83,13089,+86 (558) 494-0334,Country Code: 86 National Number: 5584940334,+865584940334
84,13090,+86 (501) 811-0103,Country Code: 86 National Number: 5018110103,+865018110103
85,13091,+86 (691) 663-7434,Country Code: 86 National Number: 6916637434,+866916637434
86,13092,+237 (975) 313-0537,Country Code: 237 National Number: 9753130537,+2379753130537
87,13093,+62 (508) 201-9294,Country Code: 62 National Number: 5082019294,+625082019294
88,13094,+81 (233) 652-2144,Country Code: 81 National Number: 2336522144,+812336522144
89,13095,+7 (945) 436-3258,Country Code: 7 National Number: 9454363258,+79454363258
90,13096,+30 (408) 872-5566,Country Code: 30 National Number: 4088725566,+304088725566
91,13097,+358 (888) 127-2331,Country Code: 358 National Number: 8881272331,+3588881272331
92,13099,+63 (167) 660-0002,Country Code: 63 National Number: 1676600002,+631676600002
93,13100,+86 (373) 908-2039,Country Code: 86 National Number: 3739082039,+863739082039
94,13101,+7 (745) 578-9688,Country Code: 7 National Number: 7455789688,+77455789688
95,13102,+51 (417) 695-8482,Country Code: 51 National Number: 4176958482,+514176958482
96,13103,+51 (848) 586-2157,Country Code: 51 National Number: 8485862157,+518485862157
97,13104,+33 (763) 404-0843,Country Code: 33 National Number: 7634040843,+337634040843
98,13105,+7 (233) 518-4521,Country Code: 7 National Number: 2335184521,+72335184521
99,13106,+420 (929) 665-7767,Country Code: 420 National Number: 9296657767,+4209296657767
100,13107,+374 (651) 974-5773,Country Code: 374 National Number: 6519745773,+3746519745773
101,13108,+504 (556) 671-9679,Country Code: 504 National Number: 5566719679,+5045566719679
102,13109,+86 (160) 474-5601,Country Code: 86 National Number: 1604745601,+861604745601
103,13110,+48 (774) 140-5708,Country Code: 48 National Number: 7741405708,+487741405708
104,13111,+7 (716) 560-6581,Country Code: 7 National Number: 7165606581,+77165606581
105,13112,+86 (823) 680-9232,Country Code: 86 National Number: 8236809232,+868236809232
106,13113,+86 (253) 232-4616,Country Code: 86 National Number: 2532324616,+862532324616
107,13114,+7 (597) 292-0484,Country Code: 7 National Number: 5972920484,+75972920484
108,13116,+372 (481) 470-2601,Country Code: 372 National Number: 4814702601,+3724814702601
109,13117,+33 (621) 703-1559,Country Code: 33 National Number: 6217031559,+336217031559
110,13119,+86 (286) 354-7737,Country Code: 86 National Number: 2863547737,+862863547737
111,13122,+972 (617) 176-3331,Country Code: 972 National Number: 6171763331,+9726171763331
112,13123,+62 (630) 371-7352,Country Code: 62 National Number: 6303717352,+626303717352
113,13124,+62 (664) 977-3482,Country Code: 62 National Number: 6649773482,+626649773482
114,13125,+86 (299) 569-9417,Country Code: 86 National Number: 2995699417,+862995699417
115,13126,+54 (726) 682-0038,Country Code: 54 National Number: 7266820038,+547266820038
116,13127,+1 (719) 419-4122,Country Code: 1 National Number: 7194194122,+17194194122
117,13128,+62 (763) 964-5122,Country Code: 62 National Number: 7639645122,+627639645122
118,13129,+62 (663) 654-2746,Country Code: 62 National Number: 6636542746,+626636542746
119,13130,+30 (213) 416-1827,Country Code: 30 National Number: 2134161827,+302134161827
120,13131,+63 (697) 215-4518,Country Code: 63 National Number: 6972154518,+636972154518
121,13132,+86 (469) 287-2288,Country Code: 86 National Number: 4692872288,+864692872288
122,13133,+86 (540) 933-1865,Country Code: 86 National Number: 5409331865,+865409331865
123,13134,+86 (763) 156-9325,Country Code: 86 National Number: 7631569325,+867631569325
124,13135,+62 (618) 913-8918,Country Code: 62 National Number: 6189138918,+626189138918
125,13136,+55 (123) 394-7028,Country Code: 55 National Number: 1233947028,+551233947028
126,13137,+48 (702) 815-8642,Country Code: 48 National Number: 7028158642,+487028158642
127,13138,+86 (733) 353-6284,Country Code: 86 National Number: 7333536284,+867333536284
128,13139,+234 (232) 967-3164,Country Code: 234 National Number: 2329673164,+2342329673164
129,13140,+502 (766) 787-4254,Country Code: 502 National Number: 7667874254,+5027667874254
130,13141,+84 (877) 798-4176,Country Code: 84 National Number: 8777984176,+848777984176
131,13142,+86 (969) 730-2360,Country Code: 86 National Number: 9697302360,+869697302360
132,13143,+84 (874) 371-6286,Country Code: 84 National Number: 8743716286,+848743716286
133,13144,+420 (474) 839-7991,Country Code: 420 National Number: 4748397991,+4204748397991
134,13145,+7 (481) 935-9808,Country Code: 7 National Number: 4819359808,+74819359808
135,13146,+62 (357) 723-8014,Country Code: 62 National Number: 3577238014,+623577238014
136,13147,+86 (956) 414-0751,Country Code: 86 National Number: 9564140751,+869564140751
137,13148,+355 (524) 197-9779,Country Code: 355 National Number: 5241979779,+3555241979779
138,13149,+256 (199) 744-3525,Country Code: 256 National Number: 1997443525,+2561997443525
139,13150,+86 (900) 630-4993,Country Code: 86 National Number: 9006304993,+869006304993
140,13151,+358 (635) 401-8872,Country Code: 358 National Number: 6354018872,+3586354018872
141,13152,+966 (681) 179-8121,Country Code: 966 National Number: 6811798121,+9666811798121
142,13153,+240 (475) 410-2049,Country Code: 240 National Number: 4754102049,+2404754102049
143,13154,+36 (980) 259-5523,Country Code: 36 National Number: 9802595523,+369802595523
144,13155,+355 (424) 513-4878,Country Code: 355 National Number: 4245134878,+3554245134878
145,13156,+86 (842) 778-7936,Country Code: 86 National Number: 8427787936,+868427787936
146,13158,+84 (386) 797-8601,Country Code: 84 National Number: 3867978601,+843867978601
147,13159,+86 (633) 258-4553,Country Code: 86 National Number: 6332584553,+866332584553
148,13160,+212 (694) 887-3585,Country Code: 212 National Number: 6948873585,+2126948873585
149,13161,+237 (361) 309-1464,Country Code: 237 National Number: 3613091464,+2373613091464
150,13162,+1 (616) 911-6386,Country Code: 1 National Number: 6169116386,+16169116386
151,13163,+46 (124) 236-5393,Country Code: 46 National Number: 1242365393,+461242365393
152,13165,+86 (400) 112-1289,Country Code: 86 National Number: 4001121289,+864001121289
